Request,Response
Mhn kariya Ka Dada Ng Nika Na Nadege Mhn Uba Ubona Woe Kamez Ute Mhn Kombona Kasaze,Ni Akana
CG Gafite Ubu Defo Buraho,Ndabura knd utambeshye
None,Ntag Ndikumv klv ndikumv Abana basakuz
None,Yeee Itatu yose mhn
Ubw Afite 13,
Ahubwox Ndamwivanah Gute Kuk mhn yasazeee foo,"ibyo nibywe, None"
Mhn Uzik nabonag Akuze mhn,Cyzee
Ndakasui,", Eeee, RIB, None"
None,Hurzoooo gxr
None,Cyzee Ahubw Nshakir Umwana Muzim
Byavamo,Ewaaaan
Binkorer nyne,Nanjye narababuze
Umva yew noec Nicia,Eko ibyo byararangiye
Yeee,Kubr
"Nyine yarafite undi mujama kuruhande ma ghee , Nabimenye re ro, Mpita murya huzo",Umv ndakasui
Cyzee,Ese We Yigaga muw Kangah
"3, Nyine year10",Eeeh ese Ko Nabony physical ark mukur
None,Nak Ni Under Agex?
Nka wawund,Wp daaa
Eeeh,Umvase Juru Ng Agusure
Nago ndi home,Ntrb
Vpvp,Yoo
Ndicuye boss,Ngiye kuryma
Eeeh ntrb Jama,Ark Juru Wamubabaje
Iki,Yashats Kugusura Ng Umwiryaho gxr
Nago narindi murugo,Sis Yari amaz kutuabwira ko Uhari
"Yababeshyaga, Sotwari turi kumwe c, Aho narindi",Wapi
Ng warurikumw ahubw nabandi ba ghee,"Ok, Bifate uko ubishaka"
Wapi mwn si ngew Ni Juru Mhn Ndikuvuga tuh,Kuk yrarvuye Ahantu kure Mhn rer nae kuz Atakubony niso gxr
Umvase Ndeber Izina Ryaya Snap Ukoresh Irih Utunu Dus Red,Kanze
Binkorer fast mhn,Yime
None,None
Icyi kijama gikundana na sister,Yeeee
Rahilla,"Yego, Mn nejo yaje home"
Reka mubaze Ni um Ghee wange,Eee
Ark Ng mugiy kwimuk,"Ninde wabikubwiye, None, Bijya biba mn"
Ye,Hv gd night
,Saw
Yee,Hhhh
Noec uw nind ur profile,Urashaka
Iki,Ndamuzi gxr
Yitwa Uwase,
Hehe,
Sup gheee,Yo
Mhn nziga naha Gxr,Byiza
Hw d u fil nzaza nza Kugusur kur visit,Wlcm
Cyzee uba wiyemeye gxf,ibyo nibyo nanga
Gumana so zae gxr,Vp
None,Nah
Nza posting Kuwa 5 cg Saturday,Eeeh
Yuh,Ewan
Umvac Tuzajy town kuw 4,Nzaba ndi busy
Busy for what,"Hari boro, Nzaba ndiml o"
Yessir,Ewaaan
Ntrb,Ngo wanze kuryama ark
Ndagiye,Sawa saw
Wee,Waguan
Ako kiryo brudda,Nineza
Gxr,Toka c
Nge nabuz phone shiaa ngo nkore boro,Reba yee
Nzaze umfotorec,Hano gacuriro c
Simazi nikure,"Hhh, Nibe ufite gahunda uzambwire"
Ntrb oe,Uzambwire
None,Eeeh
Yee,Hh
Bro jya tsap urebe,Noec ng gtx brd
Sh ubu ndi kwivuza,Urwaye ikic
Niboro za urinary system,Ni insazic cg
Ntabirenz,Ni nsazi birenze
Kuburyo Byatindac cg nibyagah gato,Sh sindamenya ndacyari kubyivuza
Ako ntago uremba nyine tuh,"Sh nyn wp, Gusa sh, Nibirebire"
Ntrb,Brd
Birashira utapapa,"Hhh, Unsengere mn"
Ako wibigira big deal naweeee,Uziko na sis wae yambwiyek arwaye igifu bro
Ako woe Niwishyiramo yuko boro zirenze Biraba bibi,Fill your mind with positive thoughts
"Hhhh, Mrci kubwa breefing",Ntrb
Bonne nuit,Poa
Bjr,Bjr ma guy
Ninezac mwana,Eeer
Eeeh,Ntrb
Zana pic nkukorere ino boro,None
"Eheee kanze, None",Zana andi ameze gutyo wifotoreje ahoo
Nka 2,Gusa
"Sinkayo c, None, None, None",Noec yose sasa like
None,None
None,Eeeh
Aza kugaragaza difference,"None, None, Ayo nayi yongera kuri yayandi"
Ntrb reka mbigukorera nuko atagaragara neza ako nyine ni ukukwreka tuh,"None, None, None, None"
None,Bro nagerageje Ako byanzee
Oe Niwongera kwifotoza Uzazikore nkakuriya maze umbwire,Tuh
"None, None",Izo ntago byakundaa
Same place kandi bahagaze bose cg bicaye bose,"None, None"
Snap seed,Eeeeh ok
Ntrb,None
Og,Cyz
Uwo ni umuturanyi mazee,"None, None, None"
Didier,Cyz
Ng gtc shiaa,"Shaho, Mwan, Kutajya kwiga"
Njya kwiga iki,None
Eeeh,Ark nge nzajyayo kuri 12
Oec,Njye ni 8
Eeeh,Wee
Yoo,Ni neza c
Fooo,Kumaziiiii
Abandi bana,Umva mbeseeee
Wagirango woe suhahora,Pt ui
Nguki,Nacyo bro
Thanks ma brudda,Lit kbs
Eeeeh birenze,Ntrb
Byari nezac ma ghee,"Eeeeh, Fosho"
Cyazee wallah,Iriya cam x mwn
"Eee, It is wht it is",Eeeeh
Yoo,Savio ninezac
,Ndaza kubikoraaa
Nirie muze cyaneee,"Broo, Nkaryari"
Nka Saa Moyaa,Cg saa kumi nebyiri
Uyanyohereze tsap,Ariya ari kuri story yae
Tsap niho aza afite quality,Hhhhh
Wah guan brd,"Ase akabazi guy, Za boro wazindabuye"
izihe,None
rekanze ntrb hari boro ndigukora,Safi
reka ne install photoshop sizoc cuz,Nawe harya wiga sod
fooo,"Fasta, Harya ngo ni snapseed"
wapi ntago nyikoresha ziriya boro,Nese ziriya boro zikora muyihe app
nazikoreraga muri snapseed,Gute nyn
nsigaye nkoresha adobe photoshop,jya aha boro bita
reka ndebe muri phone,Hh
jya kuri tools,urebe double exposure
ukore kuri + button,ura adding mo indi photo nyine
noneho urahita ubona amafoto abiri arimo ako adahuje contrast,nako opacity
noeh yatereke uko ubyifuza nusoza,wongerere opacity iyo umaze ku adding mo
maze ukande brush tool maze,nusoza
u brushing ahari ya boro igice ushaka ko kizamo,poaaaaaaaaaaaa
"Hhh, Saw kanze",ntrb
biraza kukugora gxe,Nakundi
noec ng bmz gt cuz,Sh wlh wumvego ni danger
GUTX SHUMIE,Ubukene
nitwese mn ni insazii,narinzik oe uvuye board ugiy kuntamo
Peeer,ahaa
Tuzagaruka kicukiro kucyumweru,muve ngoma burundu cg ni igihe gito
Burund,cyazee
siwumvac,Nakundi
poa nyinee,wabikozec
Byananiye,hhh
gtx,None
eeeh,ntrb
nyereka nyine ibyo wakoz wiga sod,
hhh,kusekac
Mbabarira,nyereka gxr
Kanze ark,Poa
ntrb,
,"Hhh, Birenze"
None,Cyz iyo pic
Foo,Nese bro
Ndakumvaaa,Brd
Ngo wararohamye,Ese Ninde Ubaneje woe na juru mn
Ni cyoyq ubibabwiye,Cg max
"Hhhh, Hoya mbwira",Mn nari nagiye kogq naba Sebon naba Cyoyq Noeh
Sebon Atera Za Boro Zokwinaga mumazi Arambwirango man Ndahita magararamo tuh,Nange ndasimbuka ako aho nageze simbuka nsanga haransumba rero ndarohama gxr
Umu coach waho niwe waje yiruka amvanamo ibindi bi bsxr biri guseka,
byari insaziii,shumii
ako nasubiyemo,Hhh
Sasa,Bro
Woo,Ninezax zampy
Zampy nind,Oe zumpy dawg
Uwo mujama uziko ari deskmate c,None
Hhhh,Sawa NY neee
Izo boro za piscine niza vac ishize,
Muraza hary uyumunsi,Twaje ejo
Eeh,"bro, Duhure umpe ya boro"
Hehe,Mukanya nurangiza ndakureba
Ntrb,Saw turahurira centre
Saa kenda,Sizo
Ako uba Urikungora gxr,Sinarimfite izo gahunda kbs
Ega homies are there for that,Gxr
Am not yo hommie,chchu
Toka kure,Nimvura iraguye
,Kanjye kuryama
Komeza u coding,Poa ntrb
Hhhh,None
Ma ghee Nsobanurira aka ga franca gxr,Hhhh
Kuseka,I fucked up
"Umvase, Kanze ndi kuri call",Ntrb
None,Ni frank
,Abakundanyi ndakasui
"Htoka, Toka",Zararyoshyeee
Kbs,Nakundi
Ntrb,Shumi yange
Iryohere,Suri buze c fam
Foo,Harab har aba people benshi
,"Ego, Mogake"
Biratangira ryari,Saa kumi shiaa
Eeh,Ntrb
Undabure is kenda,Menye strategy
Nyn saa kumi,Ndikukubwira undabure saa kenda menye strategy Yuko Ze instaye aho tuh
"Nrb, Karibu sana",Pt
Yoo,Bmz gtx
Umva kanze mbikore,Ngahoc
Ako ka netflix,None
Ntrb,
Tayari,Sanaaa
Nonese,Yambyeee brooo
Hhh,Ako nineza tuh
Sizoc,"Eeh fosho, Iyanjye ngo gute"
Sindayambaraaw,Ako nzareba keshoo
"Hhh, Saw",Ntrb
Nabyutse irya ubuki,None munda haranyisheee wallah
Ipfa,Nguki
"Pfaa, Niba hari kukurya",Nakoze Abdomen Birashira
Hh,Sekaaaa
Nyineeee,Nese byabaye seriye
aah,byashizee
cuz,gxr mvuye hanze kugura airtime mura numujama wambay t-shirt yanditseh po*rn hub
", Kutunguae, Kutunguwe",Gxr
Mn,Muri street
Noeh biri logo,Urabona nka t-shirt ya Rea cg Arsenal ririya jambo fly Emirates Rifate ushyireh pon hub noeh maze tshi yose uyigire san grifee gxr
Niyo waba uri mu kilometer wahita ubimenya,Eeeh akina porn nyine
Hhhhh,Wasangaaa
"Hhh, Nakundi, Kandi numutipe",Sanaaaa
ndk,"Tayari, Izo lunetter ndazishaka kuwambere"
ntrb,teraho nyinee
"Fooo, None, None, Nshireho iyihe",Iyo boro kowayisheee
Niwo waze editinzee,
Isa ute,Ngo ngukii
Isa gute iyakabiri,Bro washyizeho view once kereka nongeye nka Reba
Akoc siyo uri double,Kuko ni yo itarimo saturation nyinshi
waruri kumwe naba alain,"Eego, Hh"
t give a fuck Abt his Height,Pe
Yo brd,Ninde
Kuberaaa,Ma Gyal
Ese cuz ya Netflix,None
Ntrb,Ninezac
Eeeh sh narb kwl,Ntrb
Eer,Iyo boro ya gatatu ndakasui
Iyihe,Post
Wee gxr,Bmz gtx
Ni bon,Yoop
Yoo sup,Inze kuza kukurebax
"Hmm, Sinzi, Nshobora kujyenda mukanya",Poa
Ntrb,Naringiye kuzaho tequila tuh
Tequilaa uje koga c,Wapi nge sinyoga gxr
Ni ukureb umujam tuh,Eeeh
Poaaa,Unvac wumva Css
"Wo, Wp",Eh
Niho uri,Iki
Sanaaa,Ako iri piano nineza
"Hhh, Eeeeh foo",Noec shiaa
Ubu wabay urasazaa,"Hhhh, Wp maze gxr"
Barandabuyeee,"Eeeh, Inde c ghee"
Ind,"Inde?, Wakurabuye"
Eeeh,Ntawe gxr
Naguferaga,"Hhh, Ndabizi"
Wamaz,Nonese sh
Ni flx brd,Ewaan
As bro uracyafit ya durag,Cyn
Eeh,Ntrb
Og,Noec ngo abana bariy
Barihe?,Barihe nabo kbc
Nabonye u following aka ka babw,Ngo
Nabonye u following aka ka babe urakazi,https://instagram.com/_ruhamo_?igshid=MzRlODBiNWFlZA==
Belinda,WTF
Aziranye na sis mwan,Barangana
Cg nimukur,Ego
Ni akana,Ako ibyo nibiki
Ndabura gxr nasanga ari igi petit,Gxr
Yantayemo udu 10 twee ngo nzamutem,"Mwahuriyehe, Man uwo mwana ni muto ako arakubiye"
IG tuh,Agiye s3
Ni aga gxr,Ibaze ngiye S5 ngew
",  nese njye kohari ugiye s1,",
Amboo,Cyazee uyu mwn gxr
Ni bon,Noec wawund niba yitwand ?
"Uwuhe, Ni bien",Sinibukaa reba kuri Whatsapp yae kuri background uriya urih
Mutemo nyinee ziryoheee,"Niscia eee, Warasze"
Eeh uwo,Noec sibyo
"Uyu ararenze shumi, Hh",Byagenze utex
Nyn ararenze ni kibasumba,
Eeh nae  muracyabi dealing ruzungu,Og
Sinumva zararyoshyec,Nyine ryoshya kamweee
,"Hhh, Niko biri"
Oghee,Ase brd
Ibiswerw nabonye kumasomo ngo NYC nibiki,Kuri report brd
None,Nabonye imwe mn
Noec ningobw cg ?,Biterwa
Eeh,Oec urayifit mwn
Ego,Cyaze ibi boro ni ifezii
Fooo,Jya snap
Ndiyo,Subiza nyine
Kanze nrb,Poa
Ntrb,"Ewan, Gxr"
Ikii,Nze dukine
Ntago ariya home,Eee
Yoo,Bmz bite
Ni saw brd,Oe
"Ni bine, Bien",Yoo bro
ntagoswe today  mwana cz I was busy af but next nzabonek kbs,"Mwan nrb, Ndakumva"
Noec,Byari sawa ark tuh
Eeeeh,Kbs
"Turaburanye, Nese washatse ya boro ya sis wae",Ntago ariwe uyifite
Yayitije umu sis bakorana wari urwaye,Ako ndamubaz igihe azayimuh tuh
